aabad,Populated
charuvindha,Striving for Beauty
charuvindha,Striving for beauty 
charuvrat,Of Good Character
charuvrat,Of good character 
charvaka,Atheist philosopher of ancient india 
charvik,Handsome, Smartness, Cute
charvik,Intelligent 
charvk,Intelligent
charvk,Intelligent 
chashmum,My Eyes
chashmum,My eyes 
chatan,Consciousness; Full of Spirit
chaten,Perceptive, Consciousness, Life
chathveek, 
chathvik, 
chatian, 
chatra,Student
chatraketu,A Bright Umbrella Banner
chatrapathi,Lord of Umbrella, Saviour of All
chatrapati,Saviour of All, The Chief
chatresh,Lord Shiva / Krishna
chatresh,Lord Shiva 
chatriya,It is the Month of April; Chaitram
chatriya,It is the month of april chaitram 
chatta,Umbrella
chattan,Clan of the Cats
chatur,Clever 
chatura,Clever
chaturaanan,With Four Faces
chaturaanan,With four faces 
chaturabhuja,Strong; Broad Shouldered
chaturanan,With four faces 
chaturanan,One with Four Faces; Brahma
chaturbahave,Four-armed 
chaturbahu,Four armed 
chaturbahu,Four Armed
chaturbhuj,One who has four arms, Lord Ganesh 
chaturbhuj,Broad Shouldered, Strong
chaturmukh,Brahma
chaturmukha,One with Four Faces; Bramha
chaturnik,Four Faced; A Name for Varuna
chaturved,Lord Vishnu
chaturvedi,The one who knows 4 Vedas 
chaudhari,Head; Leader
chaudhry,Surname
chava,Life-giving; Salvador
chavrik,Intelligent 
chavrik,Intelligent
chayan,Moon; Collection 
chayan,To Choose; Selection
chayank,The Moon 
chayank,Another Name for the Moon
chayapathi,The Sun
chaz,Free Man, Variant of Carl, Man
cheana, 
chedi,Which cut and break; Leader; Charming; Wise; King and founder of the Chedi dynasty 
cheeku,Nickname; Name of a Fruit; Sweet
cheenu,Small; Lovely; Sweet
cheetu,Alert; Power of Intellect
chekriya,Wheel
chelan,Deep water; Consciousness 
chelan,Beautiful Lake
cheliyan,Rich; Resourceful; Prosperous 
cheliyan,Rich; Resourceful; Prosperous
chellaiah,Kind of Gold
chellakani,Fruit; Cute
chellamani,Precious Gem 
chellamani,Cute Pearl; Precious Gem
chellamuthu,Precious Pearl 
chellamuthu,Cute Pearl; Precious Pearl
chellan,Precious; Loveable
chellapan,Precious 
chellapan,Precious
chellaperumal,Lord Vishnu
chellappa,TBD
chellappan,Loveable Person
chellaram,TBD
chellaton,TBD
cheluva,Looking handsome 
cheluva,Looking Handsome
chembiyan,Lord Shiva
chemian,Richer
chemion,TBD
chemmal,Premier; Best 
chemmal,Premier; Best; Leader
chemmeni,Bird
chenna,Lord Vishnu 
chenna,Lord Vishnu
chenraj,A Kings Chain
chentu,Small
chenychadaiyan,A Guy with More Hair on his Head
cheran,Moon, The Chera King
cheranraj,Life 
cheranraj,Life
cherasya, 
cherasya,TBD
cherish, 
cherish,Dear, Person who Loves Dearly
cherith,Beloved 
cheru,Name of Lord Iyappan; Graceful
cherukuri,TBD
cherupara,TBD
chervik,Validation 
chet,Camp of the Soldiers, Fort
cheta,Quick
chetak,Rana Pratap's horse; Thoughtful; Pensive 
chetak,Rana Pratap's Horse; White Horse
chetan,Intelligence; Perception; Spirit of life; Vigour; Life 
chetan,Full of Spirit, Perceptive
chetanaanand,Supreme Joy 
chetanaanand,Supreme Joy
chetananand,Supreme Joy 
chetananand,Supreme Joy
chetanananda,Bliss
chetandeep,Lamp of Consciousness 
chetandeep,Lamp of Consciousness
chetansai, 
chetanya,Consciousness
chetas,Mind; Perception; Intelligence; Brilliance 
chetas,Wisdom, Soul, Heart, Mind
chetash,Grandeur; Wisdom; Soul; Mind
cheteshwar,Long Lasting; Lord Vishnu
chethan,Consciousness, Energy, Perceptive
chethana,Consciousness; Active; Energy
chethankalyan,Welfare, Spirit of Life, Noble
chethas,Heart; Soul; Mind
chetishta,TBD
chetobuh,TBD
chettan,Consciousness
chetty,Mind 
chetty,Lord Murugan
chetu,Power of Intellect
chetu,Power of Intellect 
chetus,Relating to Mind / Heart
chetuya,TBD
chevatkodiyon,Lord Murugan; One with a rooster in his battle flag 
chevatkodiyon,Lord Murugan
chevel,Brave
chevi,Ear
chey,God
chezhian,Prosperous
chezian,Graceful 
chezian,Graceful
chh,Success; Name of Prince
chha,Nice; Beloved
chhaayank,The Moon 
chhaayank,Moon; The Best
chhabi,Image; Picture
chhabil,Handsome; Unique; Water Donation
chhabila,Handsome; Unique
chhabindra,Lord Indra
chhagan,A Darling
chhailbehari,Lord Krishna; Sun
chhand,Appearance, Pleasure, Delight
chhandak,The charioteer of Lord Buddha 
chhandak,The Charioteer of Lord Buddha
chhathrapathi,Lord
chhatrabhuj,Lord Vishnu, One who has four arms 
chhatrabhuj,Lord Vishnu
chhatrapati,King
chhattresh,Lord who Gives Shelter
chhavi,Perception; Reflection
chhavvi,Image; Radiance
chhaya,Image; Beautiful Light
chhayak,The Best; Moon
chhayang,Derived from Chhaya
chhayank,The Moon 
chhayank,The Moon
chhayanshu,Sun Shadow
chhayen,Derived from Chhaya
chhayesh,Derived from Chhaya
chheda,Handsome; Beauty
chheep,Shell
chhiranjeev,One Having a Long Life; Immortal
chhotan,TBD
chhottu,Small; Little One
chhotu,Small
chhyank,The Moon
chi,Man with Purpose
chiatanya,Life; Consciousness; God; Lord
chibi,Cute; Sweet
chidaakaash,Absolute; Brahma 
chidaakaash,Absolute; Lord Brahma
chidaatma,Supreme spirit; Big soul 
chidaatma,Supreme Spirit
chidakash,Absolute; Brahma 
chidakash,Absolute; Lord Brahma
chidambar,Generous; One whose heart is as big as the sky 
chidambar,TBD
chidambaram,Home of Lord Shiva 
chidambaram,Holy Place of Lord Shiva
chidambarasami,Lord Nataraja; Lord Shiva
chidambaravel,God Chidambaranathar
chidamber,One whose Heart is as Vast as Sky
chidanand,Lord Brahma; Conscious mind immersed in total bliss 
chidanand,Supreme Spirit; Lord Brahma
chidananda,Lord Shiva; Conscious mind immersed in total bliss 
chidananda,Brilliant; Lord Shiva; Lord Brahma
chidarth, 
chidathma,Supreme Spirit; The God
chidatma,Supreme spirit; Big soul 
chidatma,Supreme Spirit
chideesh, 
chidhatma,Supreme spirit; Big soul 
chidhatma,Big Soul
chidnanda,Supreme Happiness
chidroop,Knowledge
chiinnu,Sweet name & Lovely world 
chiki,Sweet; Intelligent
chikit,Experienced; Wise; Liberal 
chikit,Understanding, Knowing
chikitvan,Understanding; Intellect
chikku,Sweet; Fruit
chikodi,In the Hands of God
chiku,Name of a Fruit
chiku, 
chill,Form of Chilton
chiman,Curious; Inquisitive 
chimanlal,TBD
chimbu,Shy
chimraj,Name of a Bird
chinar,Name of a beautiful tree 
chinar,Name of a Beautiful Tree
chindan,TBD
chinja,Son
chinkal,Lord Shiva
chinkal,Lord Shiva 
chinkit,Mark
chinkoo,Chinky or Round Face
chinku,Cute; Sweet
chinky,Round Face
chinmae,Embodied with Knowledge
chinmai,Supreme consciousness; Name of Lord Ganesh; Blissful 
chinmay,Full of Knowledge, Blissful
chinmay,Full of knowledge; Embodied with knowledge; Supreme consciousness 
chinmaya,Full of knowledge; Embodied with knowledge; Supreme consciousness 
chinmaya,The Supreme Spirit, With Joy, God
chinmayananda,Blissful; Supreme consciousness 
chinmayananda,Blissful; Supreme Consciousness
chinmaye,Supreme consciousness; Name of Lord Ganesh; Blissful 
chinmayee,Supreme consciousness; Name of Lord Ganesh; Blissful 
chinmaynand,Blissful; Supreme Consciousness
chinmayu,Supreme Consciousness
chinmayu,Supreme consciousness 
chinmoy,Light and Power; Blissful
chinmoy,Blissful 
chinna,Small; Little One; Gold
chinnadurai,Prince
chinnadurai,Prince 
chinnaiya,TBD
chinnaiyan,Little Siva
chinnakannu,Eye; Small
chinnamani,Small / Little Pearl
chinnamuthu,Small Pearl
chinnanan,TBD
chinnappa,Small Uncle; Father
chinnaraj,Little King
chinnasami,Little God
chinnathambi,Younger
chinni,Cute; Sweet 
chinniah,Lord
chinniah,Lord 
chinnu,Sweet Baby
chinnu,Small girl 
chintak,Thinker; Wisher
chintak,Thinker 
chintam,TBD
chintamani,Philosopher's Stone; Name of …
chintamani,Philosophers stone; A Jewel 
chintan,Thought; Meditation
chintan,Thought; Meditation; Contemplation; Mind 
chintana,Thought
chintav,By the Grace of God
chintav,Lamp 
chintesh,Related to Thought
chinthan,Thought; Meditation; Contemplation; Mind 
chinthanaichelvan,Intelligent; Thoughtful 
chinthya,Moon
chintoo,Sun
chintransh,Lord 
chinttu,Little; Small
chintu,Sun; Small; Little, Sweet 
chintu,Sun; Small; Little
chintya,Worthy of Thought
chintya,Thought Provoking; Worthy of thought 
chinu,Small; Cute; Short
chinya,Sing
chiraag,Lamp; Allaudins Lamps
chiradeep,Eternal Lamp
chirag,Brilliance; Lamp 
chirag,Lamp; Allaudins Lamps; Light
chiraga,Light; Happiness; Proud
chiraksh,Beautiful eyed 
chirakumar,Long Life Prince
chiranath,Immortal
chiranjan,Long Lasting Happiness
chiranjay,Long Lasting Victory
chiranjeet,Immortal
chiranjeev,Long-lived; Immortal; Man with long-life 
chiranjeev,Lord Vishnu, Immortal, Long Lived
chiranjeeva,Long Lived; Immortal
chiranjeeve,Lord Vishnu; Immortal
chiranjeevee,An immortal person, without death; Eternal being; Long lived; Lord Vishnu 
chiranjeevee,Immortal Person, Without Death
chiranjeevi,Immortal person; Without death; Eternal being; Long lived; Lord Vishnu 
chiranjeevi,Long Life / Lived, Without Death
chiranjeevini,Immortal 
chiranji,Long Lasting
chiranjib,Long-lived; Immortal; Man with long-life 
chiranjib,Man with Long-life
chiranjit,Immortal
chiranjiv,Long-lived; Immortal 
chiranjiv,Immortal, Super
chiranjivi,Immortal person, Without death, Eternal being, Long lived, Lord Vishnu 
chiranjoy,Long Lasting Victory
chirantan,Immortal 
chirantan,Ancient; Immortal
chirantar,Long Lasting
chiranth,Amar 
chiranth,Eternal; Live Long; Immortal
chirashu,With Long Life
chirayu,Long Life; Immortal
chirayu,An immortal; Long-lived person; Blessed with a long life 
chirayus,Long lived; Blessed with a long life 
chirayush,Long Life; Bestowed with Long Life
chirimar,Hunter Man
chirnjit,Long Life
chironjit,TBD
chirtrang,With multi-colored body 
chirtrang,With Multicoloured Body
chiru,Little 
chirush,Smile
chirush,God 
chistan,TBD
chit,Heart; Mind
chitaksh,Derived from Chiti
chitan,Thought
chitavake,Eye of Lord Shiva
chitavan,Derived from Chiti
chitayu,Descended from thought; The mind; Born of the intellect 
chitesh,Lord of the Soul
chitesh,Lord of the soul; Ruler of mind 
chithan,Good Thinker
chithayu,Descended from thought; The mind; Born of the intellect 
chithayu,Born of Intellect
chithesh,Lord of the soul; Ruler of mind 
chithra,Art
chithraaksha,One of the Kauravas 
chithraamga,One of the Kauravas 
chithraayudha,One of the Kauravas 
chithrabaana,One of the Kauravas 
chithrakundala,One of the Kauravas 
chithravarma,One of the Kauravas 
chitleen,One Absorbed in Awareness
chitnis,TBD
chitpati,The Lord of Thought / Mind
chitrabaahu,With Beautiful Hands
chitrabahu,With Beautiful Hands
chitrabahu,With beautiful hands 
chitrabhanu,The Sun; Fire
chitrabhanu,Crown flower plant; Fire 
chitrachap,Rainbow
chitrada,Name of Arjun's Wife
chitradeep, 
chitradev,TBD
chitragupt,God of Destiny
chitragupt,God of destiny; Secret picture 
chitragupta,Lord of Time; Secret Picture
chitragupta,God of destiny; Secret picture 
chitrak,An Ayurvedic Herb
chitrak,Painter; Cheetah depending upon usage 
chitrakant,Moon's Brightness
chitrakethu,Name of the emperor; With beautiful banner 
chitraketu,Son of Lakshman
chitraketu,Name of the emperor; With beautiful banner 
chitrakoot samashraya,Creating Chitrakoot's beauty in the Panchvati forest 
chitraksh,Beautiful Eyed
chitraksh,Beautiful eyed 
chitral,Of Variegated Colour
chitral,Of variegated color 
chitralekh,Picture; Written Destiny
chitramukha,Having a Beautiful Face
chitranand,The Sun
chitrang,With Multi-coloured Body
chitranga,Colourful
chitranjan,Inner Joy
chitrank,A Moon 
chitrank,A Moon
chitrann,TBD
chitrannam,Pullannam 
chitransh,Artist; Part of Big Picture
chitranshu,Part of the Picture
chitrarath,The Sun
chitrarath,The Sun 
chitrarth,A Man with Ability Same as of Sun
chitrarth,A Man with ability same as of Sun 
chitrasen,A King of Gandharvas
chitrasen,A king of gandharvas 
chitrashva,Another Name of Satyavar
chitrasu,TBD
chitrath, 
chitravaj,Owning Wonderful Riches
chitravasu,One with Many Treasures
chitrayudh,Name of a King
chitresh,Moon; Wonderful Lord 
chitresh,Moon; Wonderful Lord
chitrish,King of Chitra, Wonderful Lord
chitrsen,A King of Gandharvas
chitt,Mind; Heart
chitt,Mind 
chitta,Mind 
chittamohan,One who Attracts the Mind
chittan,Thoughts
chittaprasad,Happiness
chittaprasad,Happiness 
chittaranjan,Joy of Inner Mind
chittaranjan,One who pleases the mind 
chittaswarup,The Supreme Spirit
chittaswarup,The supreme spirit 
chittatosh,Happy, Peace Giving
chittesh,Lord of the soul; Ruler of mind 
chittesh,Lord of the Soul; Ruler of Mind
chittesha,TBD
chitti,Small
chittranjan,Inner Joy, Hap
chittrup,Wise; Intelligent; Good Hearted
chittu,Thoughtful; Mind; Consciousness
chittvana,One who Mediates
chitwan,Place in the Heart
chivaperuman,One of the World Lord Shiva
chivesh,Gods Gift; Good Gift
chivesh,God's Gift; Good Gift 
chivukula,TBD
chockalingam,Lord Shiva
chohan,King; Lord of Dharma
chokaiyan,TBD
chokappa,Lord Shiva
chokappan,TBD
chokesan,TBD
chokkalingam,Lord Shiva
chokkan,Good Boy
chokkanathan,Lord Shiva
chokku,Cute; Beautiful
choksha,Perfection
chokshit, 
chola,A Long Robe
cholaiyandi,Lord Murugan
cholakin,TBD
cholan,A South Indian Dynasty
cholan,A south Indian dynasty 
choska,Exact; Alert
choton,Prince; Ruler; Protector
chottu,Little; Sweet
chotu,Small
chotu,Small 
choudhari,Leader
choudhary,Leader; Surname; Head
chowdary,Ruler; Caste of Bc
choyen,Intelligent
chrirag,Lamp
chris,Running Water
chrishan,Awakened; Almighty Lord
chudamani,Jewel Adorned by the Gods
chudamani,Crest Jewel 
chudaroli,Lighting from Fire
chulbul,Mischievous
chulbul,mischievous 
chulika,Flower
chulli,Cooking Fire
chulu,Little Bit
chuman,Curious
chuman,Curious 
chunda,Sudha
chunmay,Supreme Consciousness
chunmay,Supreme consciousness 
chunnilal,TBD
chunnu,Cute; Sweet; Nickname; Nice
chunta,Cheating
chunti,Small; Little
chyavan,Name of a Saint
chyavan,Name of a saint 
chyene,TBD
citrabanu,TBD
citrasila,TBD
citrya,Brilliant; Sparkling
coshel,Perfect in Any Task
coshel,Perfect in Any Task 
crishdeep,Brave
cudaratna,Jewel of the Crest, Excellent
cupid,Craving; Longing; Of Love; Desire
cyrus,Like the Sun, First King of Iran
da,Big, Great, Achieve, Attainment
daaivik,Divine
daakshi,Golden; Son; Son of Daksh; The glorious 
daakshit,Lord Shiva 
daakshit,Lord Shiva
daaman,Rope; Taming; Self-controlled; Conquering; One who controls 
daamodar,Another Name of Lord Krishna
daanes, 
daanesh,Lord / King of Donates
daanish,To be clever; Full of knowledge and wisdom; Merciful; Intelligence; Consciousness 
daanish,Clever, Knowledge, Wisdom
daanveer,Giver; Warrior Karna
daanveera,Charitable
daanvir,Charitable
daarshik,Perceiver
daarshik,Perceiver 
daarshil,Lord Krishna
daarul, 
daasharathi,Lord Rama, Son of Dasharatha 
daata,One who Blesses the Devotees
daayadeshwar,Love of Eshwar 
dabir,Writer; Teacher
dabnshu,TBD
dada,Elder One; Grandfather
dadasaheb,TBD
dadheechi,Divine Rishi
dadhyan,Seller of Milk
daga,Camel; Thirsty
dagan,Corn or Grain
dagen,Black-haired
daha,Blazing; Very Bright
dahak,Destroyer; Powerful
dahsham,Tenth
daibadin,Creator of Religion
dainish,One who is Merciful and Foreseeing
daipayan,One who is Born in an Island
daitari,God Name
daitya,A Non Aryan
daitya sai,Non Aryan 
daiva,Godly; Divine; A Deity
daivanas,Part of the Divine; Part of God
daivansh,Of Divine Origin
daivanshu,Presence of God; Part of God
daivant,Part of Divine, Without Limit
daivat,Strength; Power
daivdatta,Granted by Fate / Fortune / Deity
daivdeep,The Heavenly Lamp; The Eye
daivey,Dearly Loved
daivik,Godly; Divine Energy; Religious
daivish,Part of Divine
daivit,Like a God, Divine, Immortal
daivith,Divine; Lord Shiva; Immortal
daivya,Divine
daiwata,Like a God; Divine
daiwik,By the Grace of God
dajasi,Child of Sephiroth
daksayan,Coming from Daksa
daksesh,The Enlightened One; Lord Shiva
daksha,Able; Talented; Skilled One
dakshak,Strong
daksham,First
dakshan,Lord of Krishna
dakshat,Talented; Able; Fit
daksheh,Gift of God; Blessed from God
dakshesh,The Enlightened One; Lord Shiva
dakshesha,Lord Shiva
daksheshwar,Lord Siva
daksheswar,Name of Lord Shiva
daksheyu,Perfect
dakshi,The Glorious
dakshik,Lord Shiva
dakshin,South Direction
dakshina,Donation to God
dakshinayan,Some Movement of the Sun
dakshinesh,Lord Shiva
dakshish,Wishes; All Wish will Fulfil
dakshit,Versatile; Skilled; Lord Shiva
dakshpati,TBD
dakshya,Perfect
daksith,King of the World; Lord Shiva
dalabhya,Belonging to Wheels
dalajit,Winning over a Group
dalakamal,A Lotus
dalapathi,Leader of a Group
dalbhya,Belonging to Wheels
dalbir,Soldier; Brave in Group
dale,Living in a Valley
daler,Brave; Valiant; Bold
dalesh,Delight; Strength
dalip,King; King of Kings
daljeet,The Conqueror of Forces
daljit,Winner of the Group
dalpat,TBD
dalpati,Commander of Group
dalsher,Bold; Brave
dalvie,Fast
damakesin,TBD
daman,One who Controls, Non-violence
damara,Gentle
damarava,TBD
damaruk,Related to Lord Shiva
damati,One who Subdues a Conqueror
dambaru,Instrument of Lord Shiva
damian,To Tame; Subdue; Tamer
damji,For Luck
damodar,Another Name of Lord Krishna
damodara,Tied with a Rope Around the Belly
damodaran,TBD
damodhar,Beautiful
damosh,Wealthy; Fortunate
dananjay,One who Wins Wealth
dananvir,An Extremely Generous Person
danapati,Lord of Generosity
danasheel,A Donor
danasur,A Hero Among the Donors
danavarsh,Rain of Wealth
danavendra,Granter of Boons
danavendra vinashaka,Destroyer of the king of demons 
dandak,A Forest; Jungle
dandakaranya punyakrute,One who ennobled the dandaka forest 
dandapaani,An Epithet for Yama
dandapani,Staff Handed
dandekar,Placing Side by Side
danesh,God of Wealth
daneshwar,God of Wealth
daniel,The Lord is My Judge, Joyful
danielle,God is My Judge
danila,God is the Judge
danish,Knowledge, Careful, To be Clever
dankana,Name of a Sculptor of Olden Days
dansh,Son of Guardian
dansu,Of Wonderful Strength
danta,Calm; A Name for Lord Hanuman
danuj,Born of Danu; A Danava
danushith,Powerful
danvendra,King Bali
danvin,Friend; Lord Shiva
danvir,Charitable; Warrior Karna
danvit,Wealthy
dara,Lord, Wealthy
darahaas,Smiley Person; Make Other to Smile
daram,TBD
daran,Great; Small and Great; Wealthy
darani,Earth; World
darbhchari,TBD
dard,Pain; Son of Zeus
darian,Wealthy, Upholder of the Good
darpad,Lord Shiva
darpak,Kamdev; God of Love
darpan,A Mirror; Reflection; Happiness
darpana,Inducing Pride
darpit,Our Reflection; Proud
darren,Greta, Oak Tree
darsa,The New Moon and Purna
darsanapala,Mirror
darseel,Name of Lord Ganesha
darsh,Lord Krishna
darsha,Bright; New Moon
darshak,Spectator; Wind Blowing Fast
darshaka,Viewer
darshal,Prayer of God
darshana,Seeing; Sight; Vision
darshanam,Lord's Vision
darshanbir,Vision of Exalted Bravery
darshanik,A Philospher
darshanlal,Lord Krishna
darsheel,TBD
darsheet,Visited; Reflection; Seen; Display
darshi,God Gift
darshil,Lord Krishna, Beautiful Looking
darshiq,Sight, Display
darshish,Mighty; Powerful
darshit,Vision; Reflection; Seen; Display
darshn,A Look, Seeing, Visions of Divine
darshwana,Pure of Heart
darsit,Making Things Visible, Display
daruk,Dark Skinned
daruka,Deodar Tree
darun,As Hard as Wood
daruyat,TBD
darvesh,Humble; Religious; Gentleman
darwin,Fearless; Dear Friend
darya,Sea
daryapurkar,Deodar Tree
daryush,Good Natured
das,Love; Devotee; Servant of God
dasa,Ten; Devotee; Servant of God
dasan,Devotee; Servant of God; Vasan
dasappan,TBD
dasaradan,Name of a King
dasaradh,God
dasarath,Father of Lord Rama
dasari,Lovely
dasarmeyu,TBD
dash,The Ash Tree; Loving
dashabahu,Ten Armed
dashabala,TBD
dashagreeva shirohara,Slayer of the ten-headed Ravana 
dashamaya,TBD
dashan,TBD
dashang,TBD
dasharat,Father of Lord Rama
dasharath,Father of Lord Rama 
dasharath,The Father of Lord Rama
dasharatha,A man whose power is equal to the power of ten Maharathis, Rathi means chariot fighter (Rama's father and King of Kosala)
dasharathi,Lord Rama, Son of Dasharatha 
dasharathi,Lord Rama
dashasava,TBD
dashbahu,Ten Armed
dashik,Lord Shiva
dashjyotish,Ten Scars of Agni
dashrath,The Father of Lord Rama
dashrupa,The 10 Forms of Lord Vishnu
dashu,Worshipping; Sacrificing
dashvanth,Lord Murugan; Lord Shiva 
daskh,God 
dasmaya,Beautiful 
dasmaya,Beautiful
dasonda,TBD
daspada,TBD
dasras,Very Sweet
dasrath,Father of Lord Rama
dass,Loving; Beauty
dasvin,Goddess of Love
daswanth,God Krishna
dasya,A Gift of God
datak,Adopted
datar,Creator, Giver, Donor
dathusan,Self Controlled; Helpful to Others
dathuya,TBD
datla,Power of Sun
datta,Given, Granted, Presented
datta,One who is given 
dattadri,A Sage
dattaram,Blessed; Given by Rama
dattathreya,An incarnation of Lord Vishnu, Son of Atri 
dattatray,An incarnation of Lord Vishnu, Son of Atri 
dattatray,God in Hindu Religion
dattatraya,God Datta 
dattatraya,God Datta
dattatrey,Given by Atri; Son of Atri
dattatreya,God in Hindu religion; A God (A son of Atri)
dattatreya,Symbol of Silence, Gift of Atri
dattatri,Meaning of God 
dattatri,Meaning of God
dattesh,Gift of God, Derived from Datta
dattey,Lord Indra
dattey,Lord Indra, Name of Indra 
dattu,Lord Sai Baba; Great Friend
daud,David, Beloved, Darling
daulat,Wealth 
daulatram,TBD
dault,Wealth; Money
dava,Wine; Water
davan,Yadav; Form of David
davanand,Joy of God
davansh,Part of Divine
davarika,TBD
davashish,Blessing of God 
davashish,Lord Shiva
dave,A variant of David; Beloved 
dave,Beloved; David's Son; Form of …
daveena,Beauty 
daveena,Beauty
daveer,Brave; Smart
daveer,Brave; Smart 
davender,The King of God, Ruler of Angels
david,Adored, Beloved One
davin,Black one 
davinder,King; King of Gods
davinderjit,Victorious King of Gods
davinderpal,Protector of the King of Gods
davu,The Beginning; Good Boy
davuluri,King of Kamboja
dawar,Wonderer, Another Name for God
dawud,Adored, From the David, Beloved
dax,Who is aware in all thing always 
dax,Reference to the Town, Water
daxal,One who is Initiated by Guru
daxesh,Lord Shiva, Kind
daxesh,Lord Brahma; Ruler of Daksa 
daxish,All Wish will Fulfil
daxit,Lord Shiva
daya,Kindness; Gold; Gold 24carets
daya-sanker,Compassionate Lord Shiva
dayaal,Kind Hearted; Merciful
dayaal,Kind hearted 
dayaamay,Full of Mercy; Kind
dayaanand,TBD
dayaananda,One who likes being merciful; A king 
dayaananda,TBD
dayaanidhi,A treasure house of mercy 
dayaanidhi,Kind; One who Gives
dayabaran,Mercy is on Ornaments
dayada,Son; Inheritor
dayada,Son; Inheritor 
dayakar,Mercy Man; Merciful Lord Shiva
dayakara,Compassionate
dayakut,Summer Tree
dayal,Gold, Kind and Merciful
dayala,Merciful
dayalan,Rhyming variant of waylon - a historical blacksmith with supernatural powers 
dayalan,TBD
dayalchand,Moon of Kindness; Very Kind
dayalu,Compassionate; Lord Shiva
dayalu,Compassionate 
dayamay,Full of mercy 
dayamay,Full of Mercy
dayamayee,Full of Mercy; Kind
dayamit,Kind; Merciful
dayamoorti,Personification of Mercy
dayanand,Trusted by Many
dayananda,One who likes being merciful; A king 
dayananda,A King; Joy of Compassion
dayanandan,TBD
dayanandh,Being Merciful
dayanidh,Treasure House of Mercy
dayanidhi,Treasure House of Mercy
dayanita,One who Likes Being Merciful
dayarajan,King of Mercy; Star of King
dayaram,Merciful
dayarama,Compassionate as Rama
dayasagar,Extremely Kind; Sea of Mercy
dayasagara,Ocean of Mercy, Extremely Kind
dayasankar,Compassionate Lord Shiva
dayasankara,Compassionate Lord Shiva
dayasekaran,Merciful
dayashanker,Mercy, Pity
dayasheel,Kind-hearted
dayaswarup,Merciful 
dayaswarup,Merciful
dayavan,Generous
dayavant,TBD
dayavanta,One who has Compassion
dayaveer,Heroically Compassionate
dayit,Beloved; Dear
dayita,Loved One
dayith,Love
daynidhi,Treasure House of Mercy
dayva,One who is Divine; Lord / God
daywa,One who is Divine, Lord / God
dayyaan,Good Ruler; Judge; Protector
dayyan,One who Takes Revenge
deakshit,Priest; Poojari
deapak,Lamp; Moon; Light
deashiva,TBD
debabrata,Name of Bhismha
debadatta,Given by God 
debajyoti,Power of All Gods
debanesh,Lord Ganesh
debangshu,Part of God
debanjan,God's Eye
debanshu,Part of Lord
debargha,Worship for God
debarpan,Tribute to Good
debashis,Benediction of God
debashish,Blessing of God; Pleased by Gods
debashmeet,Lord of the Rings
debashree,Goddess Lakshmi; Divine beauty 
debasis,Blessings of God
debasish,Blessings of God; Dynamic
debendra,King of God; Sky God
debesh,God of Gods, Pleased by Gods
debiprasad,Blessing of God
debjeet,One who has Conquered Gods
debkumar,Son of God
debnath,King of Gods
debodyuty,God Light
debosmita,Smile of God
debraj,King of Heaven; King
debranjan,One who Pleases God
debrup,Beauty of Divine
debtosh,Gift of Satisfied
dedeer,Sorrowful
dee,Brave; Unclear
deeaanj,Fire Flames
deebak,Lamp
deebendra,TBD
deedhyan,Shining; Brilliant; The Sun
deeju,Light
deekoo,Sweet Pet Name
deekshant,Given by God; God's Son
deekshanth,God's Son
deekshen,One who is Initiated
deekshin,Initiated; Consecrated
deekshit,One who is Initiated by Guru
deekshith,Meditation
deelip,Protector; The King
deena nath,Lord of the poor; Protector 
deenabandhu,Friend of the Poor
deenadayaal,Humble; Merciful; Friend of Poor
deenadayal,Merciful; Humble; Friend of Poor
deenan,One who Knows
deenanath,Lord / Protector of the Poor
deenar,Currency; Gold Coin
deenath,Lord Vishnu
deenbabdhu,Brother of Poor People
deenbandhu,Poor's Friend
deendayal,Friend of Poor
deendyal,Humble and Merciful
deenpal,The Protector of the Helpless
deenu,Part of Sun; Kindness
deep,A Lamp, Light
deepa,Lamp; Bright; Light
deepaansh,Person with Light Within
deepabali,Row of Lamps
deepack,Shining Brightly; Lamplike
deepak,Candle, Light
deepakash,Sky Full of Lamps
deepakraj,Son of King Rajendra
deepal,Light
deepam,Light of Hope
deepamala,TBD
deepamshu,Part of Light
deepan,Lighting up; Kind; Illumination
deepank,Unique Part of Candle
deepankar,One who Lights Lamps
deepankara,One who Lights Lamps
deepanker,One who Lights Lamps
deepankur,Sunray
deepanraja,Great; Intelligent; Sharper
deepansh,Part of Light / Brightness
deepanshi,Queen of Light
deepansu,Ray of Light
deeparpan,Light Giving
deepavali,Row of Lamps
deepawali,Row of Lamps
deepchand,A Shining Lamp
deepdas,Servant of Light
deepen,Name of Poet
deepender,Lamp / Light of God
deependra,Lord of Light
deependu,Bright Moon
deepesh,The Sun; Lord of Light
deepesha,Lighted
deepik,A Little Light; Lamp
deepinder,God's Light
deepindra,Light of God
deepit,Lighted; Brighted
deepjay,TBD
deepjyoti,Light of the Candle / Lamp
deepkaran,Lord of Light
deepmala,Garland of Lights
deepmay,Full of Light
deepmoy,TBD
deepraj,King of Light
deepsharn,Deep Search
deept,Scope of Light in Darkness
deeptang,Having Lighten / Bright Body
deeptanga,With Lustrous Body; Brightness
deeptanshu,Shining; Lord Surya (Sun)
deeptansu,The Sun
deeptendu,Bright Moon
deeptesh,Lord of Light
deepthamshu,Ray of Light
deepthi,Full of Light
deepti,Lighting; Beauty; Light
deeptiman,Lustrous
