dhavina,Adored; Loved One
dhavishi, 
dhavita,Purified and Clean
dhavlashree,Lotus petals 
dhavni,Noise; Sound 
dhawni,Noise; Sound 
dhayalammal,Pure White
dhayana,Concentration; Meditation
dhayana,Meditator 
dhayanitha,Graceful
dhayavathi,Curtsy
dhea,Kindness; Goddess 
dheeksha,Religious Pledge
dheeksha,Initiation; Sacrifice; Preparation for ceremony 
dheekshanya,Long Life
dheekshit,Fair complexioned 
dheekshita,Fair Complexioned
dheekshitha,Initiation; Prepared 
dheeptha,Goddess Lakshmi
dheeptha,Goddess Lakshmi; Name of several plants with bright red flowers; Shining 
dheera,Courageous; Patient
dheera,Courageous 
dheeraj,Patience
dheerata,Courage
dheeravi,One who is Courageous
dheeravi,One who is courageous 
dheertha,Capable 
dheeshana,Knowledge; Wisdom; Speech; Hymn; Goddess 
dheeshwari,Goddess
dheevashini, 
dhekana, 
dhena,Milch Cow
dhenu,A Cow; Goddess Durga
dhenuka,Milch Cow
dhenuka,Derived from kamadhenu 
dhenumati,River Gomati
dheryanshi,Patience
dheshika,Bright Future, Brilliant
dheshitha, 
dheva,Sacred Lamp; Deity; Giver; God
dheyanshi,God of Meditation
dheyanshi,God of meditation 
dheyria, 
dhilsha,King of Heart
dhimahee,Word from Hindu Mantra Sloka
dhimahi,Wisdom
dhimahi,Wisdom 
dhinan, 
dhinisha,Rising Sun; Wealthy
dhiraa,Luck
dhiraj,Patience
dhiraj,Goddess Parvati; Purity; Gift from God; One who protects; Night prayer; Plough; Another name for Durga; Intellect; Power 
dhiranjali,TBD
dhiriti,Earth
dhirshti,Vision; Sight
dhishana,Knowledge; Wisdom; Speech; Hymn; Goddess 
dhitha,Daughter
dhitha,Daughter 
dhithi,Thought; Idea
dhithi,Thought; Idea; Prayer; Wisdom 
dhiti,Thought; Idea; Prayer; Wisdom 
dhitika,Thoughtful; Wise
dhitya,Goddess Lakshmi / Parvati
dhitya,Answer of prayers; Another name for Lakshmi 
dhivani,TBD
dhivija,Born in heaven; Divine 
dhivisha,Born in Heaven
dhivti, 
dhivya,Divine luster; Charming; Beautiful; Divine 
dhiya,Lamp; Give a Light; Light
dhiya,Lamp 
dhiyan,Bright light 
dhiyana,Meditation
dhiyanaa,Meditation; Also Spelt as Dhiyana
dhiyanshi,Part of a divine power 
dhiyashini,Light
dhiyoni,Word of Mantra Sloka
dhlriti,Courage; Morale
dhlriti,Courage; Morale 
dhnashri,Goddess of wealth, Goddess Lakshmi; A Raaga in Hindustani classical music 
dhni,Richness; Full of Wealth
dhnushree,Holy Cow; Lucky
dhnya,Blessed; Grateful
dhoolika,River Gomathi's Another Name
dhoon,Tune; Music
dhooni,Shaking; Agitating
dhoop,Sun Rays
dhra,Earth; Mother Earth
dhrasika,Goddess
dhrasika,Goddess Devi 
dhrasti,Inescapable; Not running away 
dhravbathi,Courage; Morale
dhravyaa,Lord Krishna
dhreejal,TBD
dhridha,Firm; Fortress; A Buddhist Goddess 
dhriga, 
dhrikshana,Daughter of the Sun
dhrina,Inspiring
dhrisa,Courageous
dhrisana,Daughter of the Sun
dhrisha,Courageous; Goddess Lakshmi; Money
dhrisha,Mountain Lord 
dhrishika, 
dhrishta,Sight
dhrishti,Sight
dhrishtika,Sight
dhrishya,Scenery; Sight; View
dhristi,Vision; Sight; Viewing
dhrithi,Visualise; Eye
dhrithri,Earth, Mother Earth
dhriti,Courage; Morale; Patience
dhritika,Earth; Supporting; Steadfastness
dhriya,Patience
dhriya,Destroyer of poverty; Patience 
dhrnishtha,Whose Soul is for Religion
dhroohi,Divine
dhroovi,Centre Point of Globe Earth, Star
dhrriti,Courage; Morale
dhrti,Earth, Will, Resolution, Courage
dhrtimati,Steadfast; Resolute
dhruma,TBD
dhrumi,God of Gift; Divine
dhrumi,A tree 
dhrumika,TBD
dhrupal,Intelligent
dhrushika,Thirst; Goddess Lakshmi
dhrushma,TBD
dhrushma,Doshima 
dhruta,Motion; Firmness; Boldness
dhrutee,Motion; Boldness; Firmness
dhruthi,Motion 
dhruthih,Ganesh 
dhruti,Firmness; Boldness; Motion
dhruti,Motion 
dhrutika,Fixed Destiny
dhruty,Motion; Boldness; Firmness
dhruva,Star, The Polar Star, Constant
dhruva,The polar star; Constant; Faithful; Firm 
dhruvadevi,Goddess of the Poles
dhruvalata,Star; Faithful; Constant
dhruvanshi,Part of Star
dhruvaratna,Imperishable Jewel
dhruvatara,Pole Star
dhruvee,Centre Point of Globe Earth; Star
dhruveena,TBD
dhruvi,Star, Centre Point of Globe Earth
dhruvi,Firm 
dhruvika,Firmly Fixed, Faithful
dhruvika,Firmly fixed 
dhruvisha,Part of Star
dhruvita,Firmly Fixed
dhruvita,Firmly Fixed 
dhruvti,Courageous
dhruvty,TBD
dhrvisha,Firm; Part of Star
dhua,Prayer 
dhuagni,Part of Fire
dhuhita,Daughter 
dhuhitha,Daughter
dhuli,Dust
dhulika,Pollen of Flowers
dhumavathi,One of the ten Goddess known as mahavidyas 
dhumorna,Buttermilk
dhumra,Vapourous; A Daughter of Daksa
dhun,Music; Tune
dhuna,Pretty; Obsession; Tune
dhuni,River 
dhunisha,TBD
dhunn,Music; Tune
dhunu,Glow
dhupini,Fragrance; Sweet Smell; Simplicity
dhuriga, 
dhurishta, 
dhurita,Kind of Flower
dhurjati,Firm
dhurva,Heavenly Grass
dhurvi,Born from Earth
dhushitha,Brave 
dhushitha,Brave
dhuthi,Splendor; Luster; Glow; Light 
dhuthi,Splendour; Lustre
dhuti,Splendor; Luster; Glow; Light 
dhuti,Splendour; Light
dhuvitha,Water Tap
dhvani,Noise; Sound 
dhvani,Sound Stages; Sound; Voice
dhvanika,Sound
dhvija,Borne for performing the great things 
dhvija,TBD
dhvisha,Born in Heaven; Divine Wish
dhviti,Second 
dhviti,Fairness; Bright
dhvni,Sound; Speed
dhwaja,Flag, Leadership
dhwanee,Sound; Melody; Voice
dhwani,Sound; Voice; Melody; Music
dhwani,Voice; Sound 
dhwanika,Part of Sound / Voice / Melody
dhwisha,Moon; Radiance; Two Directions
dhwiti,Mirror of Lord Krishna
dhwity,Divine; Name of Lord Krishna
dhwni,Sound 
dhyaana,Conscious, Meditation
dhyaara,Gift from the Divine
dhyana,Meditation; Meditate; Conscious
dhyanee,Goddess of Meditation
dhyani,Deer, One who Meditates
dhyanika,TBD
dhyanvi,Thought; Meditation
dhyatri,One who Reflects Upon; A Thinker
dhyeya,Aim; Ideal
dhyeya,Aim 
dhyuthi,Glow; Light; Splendour
dhyuthi,Splendor; Luster; Glow; Light 
dhyuti,Full of Splendour; Lord Krishna
dhyuti,Splendor; Luster; Glow; Light 
di,Divine
dia,Lamp; Divine; Day; Candle; Light
diaa,Lamp, Bright, Splendour
diani,Divinity
dibya,Brightness; Divine; Flower
dichha,Direction
didhiti,Firm, Stable, Devotion
dieu,Variant of Dia / Diyu / Diya
digambari,Goddess Durga
digambari,Goddess Durga; Sky clad; Consort of Digambar; Epithet of Durga 
diganta,Sky; Horizon
dighvitha,TBD
digisha,Regent of a Direction
digisha,Direction of God 
digvi,High; God
digvi,Conqueror; Victorious 
digvijayi,To Conquer the World
diha,Gift by God; Hermit
dihaer,Brave
dija,Premature baby 
dikashya,TBD
dikhsha,Holy Teaching, Gift by the God
diki,Healthy and Wealthy
diksha,Gift by the God, Holy Teaching
diksha,Initiation; Sacrifice; Preparation for ceremony 
dikshali,Holy Teaching; Gift by the God
diksharthi,Gift from God; Given by God
dikshavi,Gift by the God / Lord
diksheeka,Very Silent; Simple
diksheeka,Very silent & simple 
diksheetha,Initiation 
dikshi,Holy Teaching, Point of Direction
dikshika,Blessing Giver; Gold
dikshika,Blessing Giver 
dikshita,Expert; The Initiated
dikshita,The initiated 
dikshitha,The Initiated
dikshitha,The initiated 
dikshu,Gift by the God
dikshya,Initiation; Consecration
dikshya,Initiation 
diksitha,Solid Like Rock; Imperishable
diksitha,The initiated 
diku,Daughter
dikxy,Gift by the Lord / God
dilani,Glowing; Iridescent
dilansha,Loyal; Faithful
dilasha,Sympathy, Queen of Heart
dilavya,Heart Touched
dilbar,Close to Heart; Lover
dilber,Lover
dildeep,Lamps of Heart
dileshwari,Brave; Lion Hearted
dileswari,Lion Hearted; Full of Mercy
diljot,Light of the Heart
dilkasha,Captivating, Attractive
dilna,Heart; Good Heart
dilna, 
dilnashee,Pleasing
dilsa,Wrestling Goddess
dilsha,Queen of Heart
dilshad,Joyful, Happy, Initiation
dilvi,Mind; Heart
dimpal,Cute; Dimple on Face
dimpal,A small indication one that forms in the cheeks when one smiles 
dimpee,One who has Dimple; Cute
dimpi,Cute; Beauty; One who has Dimple
dimpi,Determined and stubborn 
dimpil,Dimples
dimpil,Dimples 
dimple,A Small
dimple,A small indication one that forms in the cheeks when one smiles 
dimples,Cute
dimppy,Cute; Beauty; One who has Dimple
dimpu,Power Like a God; Sweet; Beauty
dimpy,Determined and stubborn 
dimpy,Cute; One who has Dimple
dina,Love, God has Judged, Dinah
dinadinaka,TBD
dinal,Sweet girl; Variant of Donald great chief 
dinal,Great Chief, Name of Flower
dineesha,The Lord of Sun; God of the Day
dinesha,God of the Day; The Lord of Sun
dineshwari,Lord of the Day; The Lord of Sun
dineshwary,God of the Day, Lord Shiva
dinika,Rising Sun 
dinika,Rising Sun
dinisha,God of wine 
dinisha,Bright; Welcome; Big; Rising Sun
dinkeshwari, 
dinku,Small
dinnu,Kindness; Part of Sun
dinosha,Hearty Welcome in Bengali 
dinosha,Hearty Welcome in Bangoli
dinu,Kindness
dinuja,Part of the Sun; Brightening Light
dinusa,Lord of the Day; The Sun
dinusha,Bright
dip,A lamp; Brilliance; Beautiful; Light 
dip,Small Light Like Candle
dipa,Illuminated; Enlightens; Light
dipakshi,Bright Eyed
dipal,Light; Charm full girl 
dipal,Burning Lamps; Light
dipalee,Lamps, Light
dipali,Collection of lamps; Row of lamps 
dipali,Lamps, Collection of Lamps
dipalie,Chain of Lights
dipalu,Burning Lamps
dipaly,Chain of Lights
dipam,Lamp; Light
dipana,Illuminating
dipanjali,Like a Simple Angel 
dipanjali,Like a Simple Angel
dipanshi,Brightness 
dipanshi,Part of Light / Brightness
dipansi,Part of Brightness
dipanti,Endless Ray of Light
dipanwita,Lights of diwali 
dipanwita,Light, Night of Diwali
dipasa,A Lamp; Light
dipasha,Possessor of lights 
dipasha,Like a Light; Possessor of Lights
dipashri,Light; Lamp 
dipashri,Lamp
dipati,Divine; Heavenly 
dipati,Full of Happiness
dipavali,Row of Lights
dipavati,Containing Lights
dipeeka,A Little Light; Lamp; Beautiful
dipeksha,A Wish of Candle
dipena,Lord of the Lamp
dipesha,Lamp; Illuminating; Lustrous
dipeshi,Sun; Lord of Light; Enlightened
dipeshwari,Auspicious Lamp
dipika,A small lamp; Light 
dipika,Lamp; A Little Light; Beautiful
dipiksha,Steady Lamp; Shine
dipisa,Lamp 
dipisha,Lamp 
dipla,Light Like Candle; Small Lamp
dipleen,The Divine Candle
dipoo,Light, One who Enlightens, Flame
dipranjan, 
dips,Dimple
dipsana,A Lamp; Light
dipsha,River
dipshi,Lighting
dipshika,The Flame of a Lamp
dipshikha,The Flame of a Lamp
dipshri,Small Light / Candle / Lamp
dipsi,A Light
dipsikha,Fire; Flame; Light of Ray
dipsita,TBD
dipsy,A Light
dipta,Shining; Goddess Lakshmi 
dipta,Goddess Lakshmi; Lighted
diptagni,Like a Small Candle / Mashal
diptasha,Lord of Light; Joyful
diptee,Light
dipti,Flame or luster or glow or shine; Brightness; Brilliance; Beauty 
dipti,Brightness, Light, Illuminating
diptika,A Lamp
diptu,Light; Ray of Light
dipty,Lamp
dipu,Flame; Light; Shinning 
dipu,Flame; Light
dipurna, 
dira,Beautiful; Splendor; Derived from Indira - Goddess Laxmi's name 
dirgha,Long Life
dirghakshi,One Having a Long Life; Immortal
dirghayu,Long Life
dirghika,A bunch which contains 100 corods galaxy 
dirsana,Light; Lamp 
dirsana,Light; Lamp
disa,Direction, Active Spirit, Goddess
disana,One who Gives Direction
disha,Direction 
dishaani,Queen of All Four Directions
dishal,Apropos Lightened; Fuel
dishali,TBD
dishana,Knowledge; Wisdom; Speech; Hymn; Goddess 
dishana,Instructor of Sacred Knowledge
dishani,Queen of all four directions - east, West, North, South 
dishani,Queen of All Four Directions
dishant,End of Directions
dishari,Who shows way 
dishari,One who Shows Way
dishi,Direction 
dishi,Gift of God; Direction
dishika,Direction
dishita,Focused; Once who knows the direction 
dishita,Focus; Test
dishitasri,Good Direction
dishitha,Focused; Once who knows the direction 
dishitha,Focussed; One who Knows Direction
dishta,Directed; Fixed
dishti,Direction; Good Fortune
dishu,Direction, Believe, Loving
disshu,Sort Form of Disha; Direction
ditee,Thought; Idea
diti,Idea; Splendor; Radiance; Brilliance; Beauty (Wife of the sage Kashyap)
diti,Glow, Brightness, Light
ditika,Thoughtful
ditiksha,All over the World 
ditiksha,All over the World
ditivi, 
ditvi,Divine good 
ditvi,Divine Good
ditya,Answer of prayers; Another name for Lakshmi 
ditya,Goddess Durga / Lakshmi
dityaa,Answer of prayers; Another name for Lakshmi 
dityaa,Goddess Lakshmi
dityasri, 
diu,Tender; Gentle; Mellow
diva,Gift of God; Powerful women; Through heaven; Daytime 
diva,Divine One, Light, Candle
divahini,Goddess Parvati
divam,Pure
divan,Enlightened
divani,Madly Love songs 
divani,Madly in Love
divanshi,Divine; Bright; Part of God
divansi,Divine
divashini,Shine among the day and all 
divashini,Shine Among the Day and All
divashna,Prettiness; Bright
divay,Spiritual; Divine
diveka,Heavenly; Divine
divena,Blessing; Eye of God; Resembling a Goddess; Blessing 
divena,Blessing
divi,Very bright; Sun like glow 
divi,Divine; The Heaven; Goodness
divia,Friend; Focus
divija,Born in heaven; Divine 
divija,Celestial, Born in Heaven
diviksha,God's Rays; Gift of God
divina,Divine 
divinaa,Divine One, Beloved
divisha,Goddess Durga, Chief of the Goddess, Devee 
divisha,Divine Wish; Goddess Durga
divishka,Goodness; Chief of God
divita,Divine power 
divita,Light; Chamak
divitha,Divine power 
diviya,Divine Power; Lovely
divnsha,TBD
divu,A Small Lamp
divvanshi,Divine
divvi,Very bright; Sun like glow 
divvy,Very bright; Sun like glow 
divvy,Very Bright; Sun Like Glow
divvya,Divine, Heavenly
divya,Divine luster; Charming; Beautiful; Divine 
divya,Purity, Divine, Settlement
divya sri,Divine; Pure light; Source of wisdom 
divyaa,The Queen of the Universal
divyaasha,Divya +aasha 
divyadarshini, 
divyadevi,Divine Goddess
divyajoytee,Divine Light
divyajyoti,Divine Light
divyakriti,Of Divine Form; Beautiful
divyakshi,Divine Eyes; Heavenly Eyes
divyakshi,Divine eyes 
divyam,A Part of Divine; Pure; Smart
divyamani,Name of a Raga 
divyamoorti,River Ganga
divyana,Divine 
divyana,Divine
divyanee,Praise; Like a Goddess; Heavenly
divyanga,Heavenly; Brilliant
divyangana,One with Divine Body, Angel
divyangani,An Angel
divyani,Heart of Avi 
divyani,Heavenly, Celestial, Wonderful
divyanjali,TBD
divyanka,Divine 
divyanka,Divine; Pure; Name of Goddess
divyanki,Divine
divyanksha,A Divinely Beautiful Eyes
divyansha,Divine Power
divyansha,Divine 
divyanshee,Part of Divine Power
divyanshi,Glow of God, Bright
divyanshi,Part of a divine power 
divyansi,Light; Part of God
divyante,Divoted to Divine; Pure
divyanti,Devoted to Divine, Heavenly
divyarani,Heaven Queen
divyarani,Heaven queen 
divyarupa,Divinely Beautiful; Goddess Durga
divyasa,Part of Divine
divyasarita,Idea
divyashi,Divine blessings 
divyashi,Divine Blessings
divyashree,Divine; Pure light; Source of wisdom; Heavenly 
divyashree,Divine, Pure Light
divyashri,Divine; Pure light; Source of wisdom; Heavenly 
divyasree,Heavenly; Divine
divyasri,Divine; Pure light; Source of wisdom; Heavenly 
divyasri,Kind; Helpful Human; Beautiful
divyata,Divine lights; White 
divyata,Divine Lights; Heavenly
divyathi,White
divyathi,White 
divyatta,Heavenly; Divine Lights
divyavani,A Divine Speech
divyayamuna,The Divine Yamuna
divyesha,Divine
divyeta,Divine Lights
divyta,Divine Lights
diwali,Bright Light
diwani,Madly in Love; Counsellor
dixa,God Gift
dixarthi,Given by God; Gift from God
dixcha,Gift by the God, Holy Teaching
dixha,Gift by the God, Holy Teaching
dixi,Good Gift
dixie,Tenth, From the South in the U S
dixika,Initiation; Gift by the God
dixita,Expert, Splendour
dixita,The right path 
dixitha,Expert
dixy,God Gift
dixya,God Gift
diya,Lamp, Light, Dazzling Personality
diya,Lamp (Celebrity Name: Tamil superstar Surya)
diyaa,Star; Bright; Lamp; Beautiful
diyajal,Light
diyana,Divine; Light; Religion
diyanjal,Make a Bless with Light
diyansi,Part of the Candle / Lamp
diyara,Bright Side; An Island
diyasri,Radiance Lamp
diyu,Bright; Star; Lamp
diyu,Lamp 
diyva, 
diyya,Candle
diza,Khushi; Happyness 
dnya,Power
dnyanada,Intelligent
dnyanada,Intelligent 
dnyaneshwari,Bhagwad Geeta 
dnyaneshwari,One who does Deep Meditation
do,First Child After Twins; From Ewe
dodahi,Lamp; A Kind of Flute
dodiya,Asong Bird
doe,A Gift of God; A Female Deer
doha,God's Grace; Forenoon
doiboki,Names of Krishna Mother
dolaki,Music
doleshwari, 
doli,Beautiful Like a Doll
dolika,Doll
dolika,Doll 
doll,A Gift of God
dolly,Like doll 
dolly,Cute Baby
dolma,Honesty; Pure
doly,Like as a Beautiful Doll
doma,Holy Book of Buddhists; Mosquito
dona,Lady, World Mighty, Form of Donna
donabel,TBD
doonica,Respected Women
doorga,Unreachable; Goddess Durga
doorva,Celestial Grass
dor,Generation, Habitation
dora,Kind; A Gift; Gift of God; Honesty
dori,Adored, Gift from God, Generation
dorothy,Gift of God 
doshana, 
doyal,A Song Bird
doyel,A singing bird 
doyel,Singing Bird; A Songbird
draakshayani,Goddess Parvati; Wife of Shiva
drakshanya,Name of Goddess
drakshayani,Goddess Parvati
drakshayini,Goddess 
drakshayini,Goddess
drakshyani,Goddess Parvati; Wife of Shiva
drashtaa,One who can Perceive
drashtaa,One who sees 
drashti,Sight, Eyesight, Vision of Eye
drashti,Sight 
drashty,Vision; Sight
drashvi,Vision; Moonlight; See; Seen
drashya,Scenery; Sight; Vision
drasthi,Inescapable; Not running away 
draupadee,Wife of Pandavs
draupadi,Daughter of the king Drupada, Consort of Pandavas (Wife of five Pandavas; daughter of Drupad, king of Panchala.)
draupadi,Born from Fire; Wife of Pandavas
dravie,Brave
dravita,TBD
dravya,Like Laxmi
dreesa,Daughter of the Sun
dreesha,Daughter of the Sun
dreshni,Happy
dridiksha,Desire; Wish to See
drigha, 
drisana,Daughter of the Sun
drisana,Daughter of the Sun (Daughter of the Sun)
drisani,Daughter of the Sun
drisanna,Daughter of the Sun
drishani,Daughter of the Sun
drishani,Daughter of the Sun (Daughter of the Sun)
drishi,Power of Seeing, Eyesight
drishika,Beautiful of Nature, Pretty
drishiya,Sight; Scenery; Seen
drishna,Daughter of Sun (Surya)
drishna,Daughter of Sun 
drishnee,Vision; Sight; Seeing
drishni,Vision; Sight; Seeing
drishthi,Vision; Beautiful Eyes
drishti,Vision; Sight
drishti,Eye sight 
drishty,Light
drishu,Divine Vision; Sight; Love
drishvi,Sight; Vision
drishy,Sight
drishy,Sight 
drishya,Sight; Scenery; Visible; Seen
drishya,Sight 
drishyaa,Scenery; Sight; Seen; Visible
drishyana,Daughter of the Sun
drishyana,Daughter of the Sun 
drisna,Daughter of the Sun
drisna,Daughter of the Sun (Daughter of the Sun)
dristi,Eyesight 
dristy,Eye; Vision; Eyesight
drisya,Vision
drithi,Courage; Morale; Patience
drithi,Patience; Bold 
driti,Courage; Morale; Steadiness; Command; Pleasure; Determination; Patience; Virtue 
driti,Courage and Morale
dritika,Light
driya,Destroyer of poverty; Patience 
drohita,Without Malice
dron,TBD
drona,Teacher of Warrior Arjuna
droni,Name of a River
dronika,Seance of Guru Drone
dropadi,Character of Mahabharata
drsadvati,Sight
drshika,Viewer
drshti,Sight, Vision
druhi,Daughter 
druhiti,Daughter of Sun
drumi,A tree 
drumi,Derived from Drum; A Tree
drupanandini,Draupadi
drupti,TBD
drushika,Viewer
drushna,A Ray of Light
drushni,A Ray of Light
drushvi,Seeing; Vision
drusilla,Strong Woman, Form of Drew
drusthi,Looking
drusti,Eye 
drusty,Eye 
drusya,Vision; Scene
druthi,Softened
druthi,Softened 
druti,Softened 
druti,Motion; Softened
druva,Pure Soul; Name of a Star
druvi,Firm, The Polar Star, Constant
druvika,A Star; Firm; Goddess Lakshmi
druvika,A Star; Firm; Goddess Lakshmi 
duggu,Doll
duhita,Goddess; Daughter
duhita,Daughter 
duhitha,Daughter 
duiksha,Two Wheel
dula,Shaking
duladevi,Name of Goddess
duladevi,Name of a Goddess 
dularee,Lovable
dulari,Dear One; Beloved
dulari,Dear 
duleshwari,Lion Hearted
dulhan,Bridal
dulhari,Beloved
duma,Silence; Resemblance
duma,Silence; Resemblance 
dundubi,Name of a Raga 
durba,Sacred Grass
durga,Goddess Parvati, Goddess Durga, Impenetrable; The terrifying Goddess 
durga,Goddess Parvati
durga devi,Goddess Durga 
durgaa,Wife of Lord Shiva as Gauri
durgaa,Goddess Parvati, Goddess Durga, Impenetrable; The terrifying Goddess 
durgaasri,Richness; Goddess Durga; Loyal
durgah,Unreachable, The Inaccessible
durgai,God
durgaini,The Goddess
durgalakshmi,Parvati
durgashi,Goddess Durga
durgatinasini,Eliminating Distress
durgavati,TBD
durgawati,TBD
durgee,TBD
durgesh,Goddess Durga
durgesha,Belongs to Goddess Durga
durgeshwari,Goddess Durga, Durga, The Goddess 
durgeshwari,Goddess Durga
durgi,One who Lives in a Fort
durgila,Fire; God Durga
durmisha,Impossible to get 
durriya,Expensive Pearl
duru,Draupadi; Wife of the Pandavas
durva,A medicinal herb; Sacred grass 
durva,Goddess; Sacred Grass
durvanshi,One who Lives Very Far
durvi,Star
durvika,Like a Star
durvisha,Nectar; Devoid of Toxins
durvisha, 
durwa,Sacred Grass; Goddess
dusana,A Spirit; A Soul; Full of Vices
dushala,Another Name of Lord Shiva
dushala,was the only daughter of king Dhritarashtra and Queen Gandhari and sister to Kauravas in the Indian epic Mahabharata (Daughter of Gandhari and Dhritarastra; Lone sister of the hundred Kauravas.)
dushita,Polluted
dushya,Destroyer of Evil
dussala,Difficult to Shake
dut,Console
duti,Idea; Goddess Lakshmi; Wealth
duti,Splendor; Luster; Glow; Light 
duvaraga, 
dvija,Lakshmi 
dvija,Born Twice; Belongs to the Lord
dvipa,Belonging to Island; Elephant
dvisha,Direction 
dvita,Existing in two forms; Spiritual 
dvita,Existing in Two Forms; Spiritual
dvithi,Another Name of Lord Krishna
dviti,Bright 
dviti,Bright; Dual
dwabha,Twilight
dwani,Voice; Sound 
dwani,Nice Voice / Sound
dwaraka,Gateway; Capital of Lord Krishna's
dwarakamai,Mother of mercy 
dwija,As a Goddess Lakshmi 
dwija,Second; Goddess Lakshmi; Fairy
dwipavati,A River
dwipavati,River 
dwisha,Two Directions
dwisha,Direction 
dwitee,Dual; Bright; Second
dwiti,Dual; Second 
dwiti,Dual; Second; Name of Lord Krishna
dwitipriya,Another Name of Goddess Durga
dyamayi,Kind Lady
dyani,Deer
dyanika,Merciful; Kindness
dyanvi,TBD
dyithi,Beloved; Swiftness; Idea
dypalee,Chain of Lights
dyudhuni,Heavenly Ganga
dyuksha,Heaven
dyumani,Shining Gem
dyumna,Glorious
dyumna,Glorious 
dyumnahuti,Inspired Invocation
dyuthi,Brightness, Ray of Light, Heaven
dyuthi,Light; Sunshine 
dyuti,Light Beautiful, Kind Hearted
dyuti,Light; Sunshine 
eakshaa,Rational
eakta,Union
eana,Affection
easani,Place of God
easha,Goddess Parvati; Desire; Wish
eashaa,Desire; Durga
eashana,Glorious
eashanai,Light
eashani,Goddess Parvathi
eashanye,TBD
eashita,One who Desires
eashta,Another Name of Goddess Durga
eashta,Beloved; Another name of Lord Vishnu, Goddess Lakshmi and a name given to Karmic Yoga 
eashtadevata,Favourite Deity
eashwara,Lord / God; The Supreme Spirit
eashwari,Goddess Parvati
easmatara,Friend
easwaranayaki,Wife of Shiva; Wanted
easwari,Strength
ebadat,Prayer
ebbani,Fog; Honey dow 
ecanta,A Devoted Woman
ecantah,A Devoted Woman; Peace
eccha,Goddess Parvati
ecchita,Dew Drop
ecchumati,A river 
ecchumati,Name of River
eckanta,A Devoted Woman
eckantah,A Devoted Woman; Peace
edha,Sacred; Wealth; Strength; Happiness 
edha,Prosperity; Happiness; Sacred
edhitha,Progressed; Increased
edhitha,Progressed; Increased 
ednita,Evolved; Developed; Evolved 
eedita,Implored; Requested
eeksha,Feather
eelachelvi,Eelam
eelakili,Parakeet from Eelam; Beautiful
eelampirai,Young Crescent
eenakshi,Whose Eyes Look Like Deer
eershita,Goddess Saraswati 
eesa,God is Salvation; Desirable
eesani,Ruler; Goddess Parvati
eesha,Purity, Goddess Parvati
eesha,Desire; Attractive 
eeshani,Goddess Parvati
eeshani,Consort of Lord Shiva, Close to God; Name of Goddess Durga, Goddess Parvati; Ruling; Owning (Wife of Lord Shiva)
eeshika,Gift of God; Good
eeshika,An arrow; Dart; One who achieves; Paint brush; Daughter of God 
eeshita,Greatness; Goddess Lakshmi
eeshta,Beloved
eeshta,Beloved; Another name of Lord Vishnu, Goddess Lakshmi and a name given to Karmic Yoga 
eeshwari,Goddess 
eeswari,Another Name of Lalithamba
eeswari,Goddess 
eetra,Fragrance
eevan,Love; Beauty
efrona,Feminine of Efron; Songbird
ehimaya,An All Pervading Intellect
ehimaya,An all-pervading intellect 
ehshaanya,The Roller of the Direction
eiesha,Light, Pleasure, Desire
eila,The Earth, Daughter of Manu
eilin,Torch; Bright Light
eiram,Heaven 
eiravathi,River
eiravati,Lightening; Ravi river 
eiravati,Lightening; Ravi River
eisa,Snow
eish,Pleasure; Enjoy Life; Live
eisha,Pleasure, Desire, Pious
eisha,Desire; Attractive 
eishaa,Pleasure; Desire; Pious
eishita,Goddess Lakshmi; Beloved; Desired
eishu,Pious, Desire, Pleasure
eisu,Desire, Purity, Pleasure
eiti,Ending and the New Beginning
eka,Matchless; Alone; Unique; Goddess Durga; The best; Chief; Excellent; First; One 
ekaa,Matchless; Alone; Unique; Goddess Durga; The best; Chief; Excellent; First; One 
ekaa,Goddess Durga
ekaagra,One-pointed; With One Attention
ekaakinee,Goddess Durga
ekadeva,One God; Word of God
ekadhana,A portion of wealth 
ekadhana,A Portion of Wealth
ekagratha,Focus 
ekaja,The Only Child
ekaja,The only child 
ekakanya,The girl child 
ekakitaa,Loneliness
ekaksharapara,The Goddess who likes Om 
ekala,Only Child; A Lake
ekam,Only One; United in One
ekambari,Sky 
ekananga,Lover
ekanayana,Having One Eye
ekani,One
ekani,One 
ekansha,Undivided
ekansha,Complete; One 
ekanshi,Quite
ekanshi,Part of body 
ekanta,Devoted Girl
ekanta,Devoted girl; Lovely; Beautiful; Exclusive 
ekantah,A Devoted Woman
ekantha,Lovely
ekantha,Devoted girl; Lovely; Beautiful; Exclusive 
ekanthika,Devoted to one aim; Singly focused; Focused; Single-minded 
ekanthika,Devoted to One Aim
ekantika,One Aim; Singly Focused
ekantika,Devoted to one aim; Singly focused; Focused; Single-minded 
ekaparana,Wife of Himalaya (Wife of Himalaya)
ekaparana,Wife of Himalaya
ekaparna,Singly Focussed, Single-leafed
ekaparnika,Goddess Durga; Living upon one leaf 
ekaparnika,Goddess Durga
ekarishi,First Rishi
ekastaka,Collection of 8
ekata,Unity; Harmony
ekata,Unity 
ekatara,One string instrument 
ekatha,Unity
ekatha,Unity 
ekathva,Oneness 
ekavali,Single-string; Necklace
ekavali,Single string 
ekavira,The Brave; Daughter of Lord Shiva
ekavira,Daughter of Lord Shiva 
ekayaa,One 
ekikarana,TBD
